location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci,country_name
MKD,2018,14280,16366,9298775982.778381,9689511541.37526,7.908091620000016,-18.37777146000001,-26.43841369591136,"Macedonia, the former Yugoslav Republic of"
MLI,2018,14382,16366,1565779203.473755,3768754405.4101562,-75.50588760000001,-87.7418943000002,-26.43841369591136,Mali
MLT,2018,14484,16366,22693790442.35791,31778744635.680786,99.60524400000017,32.457307799999924,-26.43841369591136,Malta
MMR,2018,14586,16366,20170536777.476868,28789495794.228516,-92.21647619999986,-15.49403970000002,-26.43841369591136,Myanmar
MNE,2018,14688,16366,2312348591.1526794,3822759946.653076,35.18577108000003,14.824095539999977,-26.43841369591136,Montenegro
MNG,2018,14790,16366,8362123135.395298,7842622345.438965,-94.64840100000005,-112.32071700000016,-26.43841369591136,Mongolia
MNP,2018,14892,16366,2531102.112182617,170976887.98901367,62.48484300000008,-81.77227800000003,-26.43841369591136,Northern Mariana Islands
MOZ,2018,14994,16366,6571242013.276062,13733338834.216248,-140.0391252,-104.18307539999992,-26.43841369591136,Mozambique
MRT,2018,15096,16366,2374478307.369629,3120332473.2909546,-143.6896032000004,-126.36356700000029,-26.43841369591136,Mauritania
MSR,2018,14453,14356,5310709.13293457,27693164.591796875,72.28958367999994,-45.61614150000004,-25.27750739591136,Montserrat
MUS,2018,15402,16366,5328031375.757507,7249499606.792603,-2.895639036000002,3.884103288000005,-26.43841369591136,Mauritius
MWI,2018,15504,16366,816825416.4122316,1544741421.241211,-110.38673580000017,-115.31427419999993,-26.43841369591136,Malawi
MYS,2018,15606,16366,310222304590.3506,248580571986.4165,112.29356460000022,75.78234330000002,-26.43841369591136,Malaysia
NAM,2018,15810,16366,6981661194.657959,7656865167.651733,-62.793928499999865,-75.30413159999982,-26.43841369591136,Namibia
NCL,2018,15912,16366,1431780506.7641602,2479207274.1071167,-7.420877399999987,-78.55692179999997,-26.43841369591136,New Caledonia
NER,2018,16014,16366,481742707.70428467,1208427037.0205688,-36.92710589999995,-83.72509860000011,-26.43841369591136,Niger
NFK,2018,15326,14356,1844157.1705322266,25847018.458740234,143.57342479999994,-55.855728249999935,-25.27750739591136,Norfolk Island
NGA,2018,16218,16366,57313909554.62158,42328096546.114075,-189.20494080000046,-125.71287840000001,-26.43841369591136,Nigeria
NIC,2018,16320,16366,6600133412.29657,6843091072.7907715,-90.03595590000019,-81.02079299999997,-26.43841369591136,Nicaragua
NIU,2018,15617,14356,111070324.39294434,26399647.928100586,105.42664220000023,-76.42233657999996,-25.27750739591136,Niue
NLD,2018,16524,16366,760230113760.5393,800194442731.1277,112.94643600000026,163.2610979999999,-26.43841369591136,Netherlands
NOR,2018,16626,16366,157978184293.98206,136224822605.15265,74.22308969999993,5.190470939999996,-26.43841369591136,Norway
NPL,2018,16728,16366,678351542.388977,10218594430.38379,-29.608399860000052,55.82059752000003,-26.43841369591136,Nepal
NRU,2018,16005,14356,15675432.320678711,124503498.45220947,80.28174444999992,-23.188098320000016,-25.27750739591136,Nauru
NZL,2018,16932,16366,56726722970.239685,51900853183.620605,23.177004059999955,18.812615819999987,-26.43841369591136,New Zealand
OMN,2018,17034,16366,68526699696.79363,46964431400.15167,-44.802224999999964,-96.86867580000013,-26.43841369591136,Oman
PAK,2018,17136,16366,29664933534.08719,71404727356.53345,-62.01038693999988,67.62619890000009,-26.43841369591136,Pakistan
PAN,2018,17238,16366,17624679170.710022,46809794663.84485,-12.71839479000002,-41.5519236,-26.43841369591136,Panama
PCN,2018,16587,14356,944930.6828613281,2464157.4975585938,220.58405279999977,-62.96793800000012,-25.27750739591136,Pitcairn
PER,2018,17646,16366,53408393293.60913,49043086403.628174,-63.042701400000105,-14.063764080000023,-26.43841369591136,Peru
PHL,2018,17748,16366,118306148201.49133,155868862086.03345,75.64061429999994,21.28143096000004,-26.43841369591136,Philippines
PLW,2018,17850,16366,26435353.51147461,117583206.66027832,-1.5011847959999998,-82.40707194000007,-26.43841369591136,Palau
PNG,2018,17952,16366,9277413757.417175,4587389513.57666,-178.44079920000019,-123.14562000000032,-26.43841369591136,Papua New Guinea
POL,2018,18054,16366,328208163194.3159,321137495887.5554,112.85679839999979,138.53128980000005,-26.43841369591136,Poland
PRK,2018,18156,16366,307515746.0883789,2317770146.312866,76.04493005999998,43.98909323999998,-26.43841369591136,"Korea, Democratic People's Republic of"
PRT,2018,18258,16366,105603353605.92834,103386256924.44495,66.55017539999992,229.32874200000026,-26.43841369591136,Portugal
PRY,2018,18360,16366,8720574306.266418,12394749649.448975,-56.9733709199999,-91.1149578,-26.43841369591136,Paraguay
PSE,2018,18462,16366,1722230119.7211304,5723960258.477192,16.26130614000002,72.63441012000004,-26.43841369591136,"Palestinian Territory, Occupied"
PYF,2018,18564,16366,152475186.3513794,1636165358.0167236,-2.756125068,-66.42602099999989,-26.43841369591136,French Polynesia
QAT,2018,18666,16366,98941155285.26202,63704220270.73871,-4.265494956,-101.80985772000014,-26.43841369591136,Qatar
ROU,2018,18870,16366,106852645836.13342,110403374101.77283,103.93362419999984,114.44882460000018,-26.43841369591136,Romania
RUS,2018,18972,16366,513086779346.64233,319618979528.8804,29.276705040000053,11.92199102999998,-26.43841369591136,Russia
RWA,2018,19074,16366,1367135556.9007568,2509998044.0733337,-91.65958169999988,-90.70743720000003,-26.43841369591136,Rwanda
SAU,2018,19176,16366,253336650706.88977,206571831475.1046,76.03168230000013,-40.44259199999996,-26.43841369591136,Saudi Arabia
SDN,2018,19380,16366,5125951824.73584,8787892057.450073,-163.5202392,-128.35125119999987,-26.43841369591136,Sudan
SEN,2018,19482,16366,3895018856.8412476,10968151347.287231,-63.57290759999983,-28.418875859999964,-26.43841369591136,Senegal
SGP,2018,19584,16366,495663047258.8545,506256146333.02856,194.34651600000046,69.91537979999995,-26.43841369591136,Singapore
SGS,2018,18721,14356,1478762.07421875,0.0,66.86445710000007,-84.86108341000012,-25.27750739591136,South Georgia and the South Sandwich Islands
SHN,2018,18818,14356,26227560.47680664,37694011.71435547,60.807815899999945,-67.16755590999995,-25.27750739591136,"Saint Helena, Ascension and Tristan da Cunha"
SLB,2018,19890,16366,892526602.3295898,739909535.835022,-121.18871940000021,-95.15684652,-26.43841369591136,Solomon Islands
SLE,2018,19992,16366,598575521.5275269,1066248057.154419,-29.245197240000028,-57.81979139999996,-26.43841369591136,Sierra Leone
SLV,2018,20094,16366,8918737975.94226,11981530063.66742,10.013071739999999,25.92168329999996,-26.43841369591136,El Salvador
SMR,2018,20196,16366,145953658.11102295,317211399.13061523,114.74068740000023,64.39443906000011,-26.43841369591136,San Marino
SOM,2018,20298,16366,427780931.1824951,3445745277.162842,-145.7883552,-101.58224880000004,-26.43841369591136,Somalia
SPM,2018,19400,14356,5694764.122436523,47608014.12994385,101.28847669999986,-63.131353900000086,-25.27750739591136,Saint Pierre and Miquelon
SRB,2018,20502,16366,25952278546.027466,30783380235.886475,63.349921319999886,127.30434359999975,-26.43841369591136,Serbia
STP,2018,20706,16366,95015296.77929688,206439961.34173584,147.88426139999982,-9.911283900000017,-26.43841369591136,Sao Tome and Principe
SUR,2018,20910,16366,2441594526.1549454,1967967146.7207642,-77.285043,-98.47775640000002,-26.43841369591136,Suriname
